Austin Rivers,PG,Clippers,400899395,0,23,4-8,2-4,2-2,1,3,4,7,0,0,1,5,+4,12
Austin Rivers,PG,Clippers,400899418,1,37,2-11,1-3,4-5,0,4,4,5,0,0,2,4,+4,9
Austin Rivers,PG,Clippers,400899426,0,26,4-8,0-3,0-0,0,4,4,2,1,0,0,2,+4,8
Austin Rivers,PG,Clippers,400899430,1,28,4-12,0-4,6-8,0,3,3,4,2,0,1,4,+9,14
Austin Rivers,PG,Clippers,400899445,0,26,6-12,4-7,0-0,0,5,5,4,2,0,2,5,-4,16
Austin Rivers,PG,Clippers,400899472,1,36,7-15,0-3,4-6,1,3,4,6,0,1,2,4,-9,18
Austin Rivers,PG,Clippers,400899485,0,29,8-11,2-4,1-2,0,2,2,1,0,0,3,2,+12,19
Austin Rivers,PG,Clippers,400899495,0,24,4-9,0-0,0-0,0,0,0,1,0,0,2,0,+5,8
Austin Rivers,PG,Clippers,400899514,0,20,2-8,0-2,0-0,0,0,0,2,0,1,1,5,+3,4
Austin Rivers,PG,Clippers,400899524,0,23,2-9,1-4,3-5,0,3,3,0,2,0,0,2,+15,8
Austin Rivers,PG,Clippers,400899536,0,22,3-10,0-3,0-0,0,1,1,1,1,1,1,2,-1,6
Austin Rivers,PG,Clippers,400899548,0,23,5-10,1-3,0-0,0,2,2,4,0,0,1,1,-1,11
Austin Rivers,PG,Clippers,400899565,0,30,3-10,2-5,1-1,0,4,4,5,0,0,0,2,+9,9
Austin Rivers,PG,Clippers,400899576,0,18,2-5,0-2,3-7,1,0,1,0,1,0,0,4,-13,7
Austin Rivers,PG,Clippers,400899585,0,16,1-4,0-1,0-0,0,0,0,4,0,0,1,4,-3,2
Austin Rivers,PG,Clippers,400899602,0,25,1-6,0-2,1-2,0,3,3,6,1,0,2,5,-11,3
Austin Rivers,PG,Clippers,400899617,0,18,1-4,0-1,0-0,0,1,1,0,1,1,0,0,-7,2
Austin Rivers,PG,Clippers,400899633,0,23,5-7,1-2,1-1,0,1,1,4,1,1,1,2,+10,12
Austin Rivers,PG,Clippers,400899642,0,21,1-2,0-1,1-2,0,2,2,1,0,0,0,4,-1,3
Austin Rivers,PG,Clippers,400899657,0,16,1-5,0-0,1-1,0,1,1,1,0,0,1,2,-1,3
Austin Rivers,PG,Clippers,400899670,0,26,7-11,6-7,2-3,0,1,1,1,1,0,0,0,+5,22
Austin Rivers,PG,Clippers,400899680,0,17,1-3,0-0,0-0,0,1,1,0,1,0,2,1,-1,2
Austin Rivers,PG,Clippers,400899699,0,25,2-5,1-2,2-3,0,1,1,1,3,0,3,0,-11,7
Austin Rivers,PG,Clippers,400899711,0,26,5-9,2-4,3-5,1,1,2,2,0,0,1,1,-7,15
Austin Rivers,PG,Clippers,400899729,0,20,1-9,0-4,0-0,0,2,2,1,1,0,0,1,-12,2
Austin Rivers,PG,Clippers,400899745,0,15,2-4,0-1,1-2,1,2,3,0,0,0,1,0,-21,5
Austin Rivers,PG,Clippers,400899772,0,29,4-10,2-4,4-4,0,2,2,2,0,0,0,2,+8,14
Austin Rivers,PG,Clippers,400899797,1,28,6-9,4-6,2-2,1,1,2,4,1,0,1,1,+10,18
Austin Rivers,PG,Clippers,400899808,0,DNP-CONCUSSION
Austin Rivers,PG,Clippers,400899818,1,38,9-12,7-10,0-1,0,4,4,2,1,0,1,2,+5,25
Austin Rivers,PG,Clippers,400899839,1,34,2-6,2-4,1-2,0,1,1,1,0,0,1,5,-6,7
Austin Rivers,PG,Clippers,400899848,0,25,6-9,1-3,0-0,0,0,0,2,2,0,1,6,-5,13
Austin Rivers,PG,Clippers,400899868,0,22,3-8,1-4,2-4,0,0,0,6,2,0,0,1,-20,9
Austin Rivers,PG,Clippers,400899883,0,25,2-9,1-3,3-4,0,0,0,0,1,0,0,2,-5,8
Austin Rivers,PG,Clippers,400899897,0,29,6-13,4-6,0-0,0,0,0,3,2,0,3,3,+4,16
Austin Rivers,PG,Clippers,400899902,0,25,3-10,1-3,0-0,1,1,2,1,2,0,2,4,-7,7
Austin Rivers,PG,Clippers,400899912,1,42,8-17,2-6,1-1,0,3,3,5,1,0,5,0,-4,19
Austin Rivers,PG,Clippers,400899923,1,32,9-20,2-8,2-2,3,1,4,0,2,0,1,3,-3,22
Austin Rivers,PG,Clippers,400899938,1,15,3-8,1-3,2-3,0,1,1,3,0,0,0,1,-15,9
Austin Rivers,PG,Clippers,400899949,1,34,3-11,1-5,7-7,0,1,1,3,0,0,3,3,-14,14
Austin Rivers,PG,Clippers,400899954,1,44,10-16,2-4,6-7,0,4,4,7,1,1,4,3,+7,28
Austin Rivers,PG,Clippers,400899972,1,36,9-15,4-7,2-3,2,4,6,2,0,0,3,2,+8,24
Austin Rivers,PG,Clippers,400899982,0,DNP-ILLNESS
Austin Rivers,PG,Clippers,400900005,1,33,3-7,1-3,2-4,0,4,4,5,0,0,2,1,+9,9
Austin Rivers,PG,Clippers,400900022,1,31,7-14,1-5,0-0,0,1,1,2,2,1,1,1,+13,15
Austin Rivers,PG,Clippers,400900042,1,35,5-13,2-7,4-4,0,2,2,6,1,0,3,2,+29,16
Austin Rivers,PG,Clippers,400900061,1,36,7-14,2-4,4-5,0,1,1,2,0,1,2,6,-7,20
Austin Rivers,PG,Clippers,400900079,1,26,7-12,2-4,0-0,1,1,2,5,0,0,0,3,-19,16
Austin Rivers,PG,Clippers,400900088,1,41,10-21,5-10,2-2,0,4,4,6,0,0,4,1,+7,27
Austin Rivers,PG,Clippers,400900096,1,39,7-15,4-7,2-4,1,1,2,3,1,0,2,5,-9,20
Austin Rivers,PG,Clippers,400900128,1,38,3-11,1-4,3-6,0,2,2,6,1,0,1,3,-25,10
Austin Rivers,PG,Clippers,400900171,1,34,1-8,0-4,3-4,1,2,3,5,0,0,3,3,-3,5
Austin Rivers,PG,Clippers,400900176,1,38,7-14,4-8,4-7,1,1,2,0,0,1,1,3,+0,22
Austin Rivers,PG,Clippers,400900196,1,36,3-10,1-3,0-1,0,4,4,10,1,0,5,3,+5,7
Austin Rivers,PG,Clippers,400900213,1,38,7-12,4-6,0-2,0,3,3,5,0,0,5,3,-2,18
Austin Rivers,PG,Clippers,400900233,1,32,6-12,3-4,0-0,0,3,3,3,0,0,3,3,+24,15
Austin Rivers,PG,Clippers,400900252,1,27,5-11,1-3,2-2,0,2,2,4,3,0,1,1,+20,13
Austin Rivers,PG,Clippers,400900260,1,37,7-16,4-9,1-2,0,2,2,2,2,0,3,1,-7,19
Austin Rivers,PG,Clippers,400900271,0,27,8-14,2-6,5-6,0,0,0,3,0,0,0,4,+0,23
Austin Rivers,PG,Clippers,400900287,0,20,2-8,0-5,1-1,1,0,1,1,0,0,0,5,-13,5
Austin Rivers,PG,Clippers,400900307,0,27,2-6,0-1,4-6,0,2,2,1,0,0,4,3,-28,8
Austin Rivers,PG,Clippers,400900317,0,19,1-5,1-4,1-2,1,1,2,3,1,0,2,2,-1,4
Austin Rivers,PG,Clippers,400900340,0,32,2-4,1-1,2-2,0,3,3,3,0,0,3,4,+20,7
Austin Rivers,PG,Clippers,400900350,0,29,3-10,2-4,2-3,0,2,2,3,0,1,1,2,+0,10
Austin Rivers,PG,Clippers,400900356,0,32,7-10,1-4,5-6,1,4,5,4,0,0,3,1,+7,20
Austin Rivers,PG,Clippers,400900369,0,19,2-8,0-3,2-4,0,2,2,3,2,0,3,2,+5,6
Austin Rivers,PG,Clippers,400900391,0,26,6-11,2-5,1-4,0,0,0,2,0,0,0,4,+1,15
Austin Rivers,PG,Clippers,400900408,0,15,1-7,0-3,0-0,0,0,0,0,1,0,1,3,-10,2
Austin Rivers,PG,Clippers,400900413,1,33,7-12,3-6,0-1,0,1,1,1,0,0,1,4,-12,17
Austin Rivers,PG,Clippers,400900426,0,29,4-9,0-5,3-4,0,3,3,0,0,0,0,3,+18,11
Austin Rivers,PG,Clippers,400900445,0,23,6-10,1-4,4-5,0,1,1,2,0,0,3,4,-7,17
Austin Rivers,PG,Clippers,400900453,0,31,6-11,1-4,5-6,0,4,4,4,0,0,1,2,+14,18
Austin Rivers,PG,Clippers,400900464,0,26,5-10,2-5,1-2,0,2,2,1,0,0,1,1,+9,13
Austin Rivers,PG,Clippers,400900477,0,25,5-10,0-1,1-1,0,1,1,1,0,0,1,1,+8,11
Austin Rivers,PG,Clippers,400900484,1,43,4-13,2-7,0-0,1,8,9,4,0,0,2,3,+7,10
Austin Rivers,PG,Clippers,400900514,0,8,0-3,0-2,0-0,0,1,1,0,0,0,0,0,+5,0
Austin Rivers,PG,Clippers,400900519,0,DNP-STRAINED LEFT HAMSTRING
